ID,employee_ID,uanNumber,pfNumber,esiNumber,panNumber,aadhaarNumber,isPFApplicable,isESIApplicable,passportNumber,passportExpiry,remarks,status
S0000001-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,100000000001,PF000001,ESI000001,ABCDE1234F,123456789012,true,true,P1234567,2032-12-31,Verified by HR,Active
S0000002-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000002,100000000002,PF000002,ESI000002,BCDEF2345G,223456789012,true,true,P2234567,2031-11-30,Verified by HR,Active
S0000003-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000003,100000000003,PF000003,ESI000003,CDEFG3456H,323456789012,true,true,P3234567,2033-08-15,Verified by HR,Active
S0000004-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000004,100000000004,PF000004,,DEFGH4567J,423456789012,true,false,,,"ESI Not Applicable",Active
S0000005-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000005,100000000005,PF000005,ESI000005,EFGHI5678K,523456789012,true,true,P5234567,2034-05-20,Verified by HR,Active
S0000006-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000006,100000000006,PF000006,,FGHIJ6789L,623456789012,true,false,,,"Passport Not Submitted",Active
S0000007-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000007,100000000007,PF000007,ESI000007,GHIJK7890M,723456789012,true,true,P7234567,2035-02-28,Verified by HR,Active
S0000008-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000008,100000000008,PF000008,ESI000008,HIJKL8901N,823456789012,true,true,P8234567,2032-09-18,Verified by HR,Active
S0000009-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000009,100000000009,PF000009,,IJKLM9012P,923456789012,true,false,,,"Awaiting Passport",Active
S0000010-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000010,100000000010,PF000010,ESI000010,JKLMN0123Q,102345678901,true,true,P1023456,2036-07-12,Verified by HR,Active
